J8515632 GPS Records(1760)					
Time Range:2019-02-02 13:20:00 To 2019-02-03 14:46:00					
NO.	GPS Time	Latitude	Longitude	Speed(KM/H)	Direction
254	2019-02-02 17:02:10	25.063200	89.030712	9	Northwest[330]
255	2019-02-02 17:02:40	25.064338	89.030098	14	Northwest[332]
256	2019-02-02 17:03:08	25.065869	89.029698	29	North[2]
257	2019-02-02 17:48:15	25.068809	89.030374	20	North[15]
258	2019-02-02 17:48:45	25.070492	89.030898	23	North[14]
259	2019-02-02 17:49:15	25.072600	89.031529	32	North[16]
260	2019-02-02 17:52:45	25.073505	89.032729	26	East[82]
261	2019-02-02 17:53:15	25.073629	89.035663	44	East[86]
262	2019-02-02 17:53:45	25.073840	89.039112	38	East[86]
263	2019-02-02 17:54:15	25.073967	89.041743	33	East[86]
264	2019-02-02 17:54:45	25.074152	89.044756	26	East[82]
265	2019-02-02 17:55:15	25.074340	89.048089	49	East[86]
266	2019-02-02 17:55:45	25.074498	89.051254	35	East[84]
267	2019-02-02 17:56:15	25.074692	89.054747	43	East[86]
268	2019-02-02 17:56:45	25.074800	89.056640	26	East[84]
269	2019-02-02 17:57:15	25.074927	89.059174	33	East[87]
270	2019-02-02 17:57:45	25.075116	89.062312	42	East[85]
271	2019-02-02 17:58:15	25.075089	89.065760	41	East[103]
272	2019-02-02 17:58:45	25.074305	89.068676	40	East[105]
273	2019-02-02 17:59:15	25.073414	89.072018	42	East[106]
274	2019-02-02 17:59:45	25.072660	89.074889	33	East[106]
275	2019-02-02 18:00:15	25.071789	89.078240	45	East[106]
276	2019-02-02 18:00:45	25.071027	89.081067	16	East[108]
277	2019-02-02 18:01:15	25.070412	89.083423	41	East[107]
278	2019-02-02 18:01:45	25.069474	89.087040	44	East[105]
279	2019-02-02 18:02:15	25.068736	89.089832	16	East[105]
280	2019-02-02 18:02:45	25.068283	89.091565	34	East[106]
281	2019-02-02 18:03:15	25.067554	89.094267	27	East[105]
282	2019-02-02 18:03:45	25.067245	89.095547	13	East[104]
283	2019-02-02 18:04:15	25.066878	89.096809	30	East[107]
284	2019-02-02 18:04:45	25.066765	89.099707	22	East[89]
285	2019-02-02 18:05:15	25.067145	89.102534	40	East[81]
286	2019-02-02 18:05:45	25.067536	89.105574	45	East[82]
287	2019-02-02 18:06:15	25.068036	89.109574	49	East[81]
288	2019-02-02 18:06:45	25.068578	89.113885	56	East[82]
289	2019-02-02 18:07:15	25.069023	89.117334	17	East[85]
290	2019-02-02 18:07:45	25.069292	89.119512	42	East[83]
291	2019-02-02 18:08:15	25.069672	89.123796	57	East[92]
292	2019-02-02 18:08:45	25.069316	89.128089	46	East[95]
293	2019-02-02 18:09:15	25.068936	89.132436	56	East[94]
294	2019-02-02 18:09:45	25.068740	89.134898	35	East[96]
295	2019-02-02 18:10:15	25.068505	89.137725	26	East[96]
296	2019-02-02 18:10:45	25.068272	89.140658	15	East[94]
297	2019-02-02 18:12:15	25.068056	89.143200	35	East[95]
298	2019-02-02 18:12:45	25.067860	89.145769	42	East[94]
299	2019-02-02 18:13:15	25.067540	89.149485	42	East[94]
300	2019-02-02 18:13:45	25.067396	89.151298	30	East[96]
301	2019-02-02 18:14:15	25.067238	89.153218	27	East[94]
302	2019-02-02 18:14:45	25.067020	89.155743	33	East[93]
303	2019-02-02 18:15:15	25.066787	89.158694	38	East[92]
304	2019-02-02 18:15:45	25.066283	89.161956	36	East[104]
305	2019-02-02 18:16:15	25.065445	89.164818	32	East[110]
306	2019-02-02 18:16:45	25.064889	89.166774	21	East[109]
